dataset,repetition,fold,method,log_likelihood,mean_heldout_density,is_fallback
PctKids2Par,3,6,REFLECT_LSCV,-0.12849989778833523,1.4279519839469883,False
PctKids2Par,3,7,BETA_ROT,-10.500026922413376,1.3977826039005137,False
PctKids2Par,3,7,BETA_LSCV,-10.502487498183791,1.4093807158459097,False
PctKids2Par,3,7,LOGIT_SILV,-10.465531334217298,1.332233972938523,False
PctKids2Par,3,7,LOGIT_LSCV,-10.4969863344688,1.412994194509225,False
PctKids2Par,3,7,REFLECT_SILV,-0.11324678600202881,1.417729042517623,False
PctKids2Par,3,7,REFLECT_LSCV,-0.11262410043897056,1.4147546280151995,False
PctKids2Par,3,8,BETA_ROT,-7.0775513615458205,1.3694309928522237,False
PctKids2Par,3,8,BETA_LSCV,-7.084098107159349,1.3791786638561845,False
PctKids2Par,3,8,LOGIT_SILV,-7.0318467690054645,1.3057126483828512,False
PctKids2Par,3,8,LOGIT_LSCV,-7.097700908411111,1.3843933677013545,False
PctKids2Par,3,8,REFLECT_SILV,-0.13916158089345604,1.3918329399298066,False
PctKids2Par,3,8,REFLECT_LSCV,-0.13990172515767776,1.392565404692787,False
PctKids2Par,3,9,BETA_ROT,-3.623115098839501,1.3813518781867902,False
PctKids2Par,3,9,BETA_LSCV,-3.625600940197896,1.3922809794218332,False
PctKids2Par,3,9,LOGIT_SILV,-3.5664303811013207,1.3130065184406232,False
PctKids2Par,3,9,LOGIT_LSCV,-3.6154353330815474,1.3983182826095937,False
PctKids2Par,3,9,REFLECT_SILV,-0.13466784617172511,1.402696177865638,False
PctKids2Par,3,9,REFLECT_LSCV,-0.13451367737119208,1.402445445927178,False
PctKids2Par,3,10,BETA_ROT,-3.6337257168217616,1.3800199120971923,False
PctKids2Par,3,10,BETA_LSCV,-3.6362329019566406,1.389239632203964,False
PctKids2Par,3,10,LOGIT_SILV,-3.5772300782657664,1.3134722238740926,False
PctKids2Par,3,10,LOGIT_LSCV,-3.6287632827796252,1.3955793756252857,False
PctKids2Par,3,10,REFLECT_SILV,-0.16422362302865176,1.394804027793528,False
PctKids2Par,3,10,REFLECT_LSCV,-0.16410729123164866,1.3946843045568689,False
PctKids2Par,4,1,BETA_ROT,-3.587700609784739,1.3864706306080665,False
PctKids2Par,4,1,BETA_LSCV,-3.58956298445955,1.3965281149489237,False
PctKids2Par,4,1,LOGIT_SILV,-3.5330430143951124,1.314327266350229,False
PctKids2Par,4,1,LOGIT_LSCV,-3.5839005821126806,1.4017166686292057,False
PctKids2Par,4,1,REFLECT_SILV,-0.13018470828054787,1.405540822549626,False
PctKids2Par,4,1,REFLECT_LSCV,-0.13135280347171793,1.406350251654548,False
PctKids2Par,4,2,BETA_ROT,-7.011446144074514,1.4216779721140267,False
PctKids2Par,4,2,BETA_LSCV,-7.012962306193828,1.4328506701912618,False
PctKids2Par,4,2,LOGIT_SILV,-6.974613004305163,1.3544862635665453,False
PctKids2Par,4,2,LOGIT_LSCV,-7.007343226085024,1.439390473779687,False
PctKids2Par,4,2,REFLECT_SILV,-0.12193851120841633,1.438663252045532,False
PctKids2Par,4,2,REFLECT_LSCV,-0.12185741181728998,1.43815950956842,False
PctKids2Par,4,3,BETA_ROT,-3.5646154204717937,1.4207603699349522,False
PctKids2Par,4,3,BETA_LSCV,-3.5654250929419162,1.4321839567056247,False
PctKids2Par,4,3,LOGIT_SILV,-3.525426314894114,1.3531143797942544,False
PctKids2Par,4,3,LOGIT_LSCV,-3.561733913540256,1.4388927289921165,False
PctKids2Par,4,3,REFLECT_SILV,-0.1152059548391826,1.4383231765334146,False
PctKids2Par,4,3,REFLECT_LSCV,-0.11485357435412887,1.4373830383781199,False
PctKids2Par,4,4,BETA_ROT,-10.504597066172478,1.3353029459187757,False
PctKids2Par,4,4,BETA_LSCV,-10.508478670207232,1.3437237559024497,False
PctKids2Par,4,4,LOGIT_SILV,-10.45230828854351,1.2902895841371735,False
PctKids2Par,4,4,LOGIT_LSCV,-10.504309724561358,1.3501053274233967,False
PctKids2Par,4,4,REFLECT_SILV,-0.1715824775720219,1.3499774626366685,False
PctKids2Par,4,4,REFLECT_LSCV,-0.17146555451325715,1.349807759140827,False
PctKids2Par,4,5,BETA_ROT,-3.5559973043881175,1.4141882733996203,False
PctKids2Par,4,5,BETA_LSCV,-3.558060134302267,1.4252620761028385,False
PctKids2Par,4,5,LOGIT_SILV,-3.5223426288875745,1.3464572706192224,False
PctKids2Par,4,5,LOGIT_LSCV,-3.552243485504129,1.432507089242888,False
PctKids2Par,4,5,REFLECT_SILV,-0.08588887907328262,1.433194612157385,False
PctKids2Par,4,5,REFLECT_LSCV,-0.08624348815529896,1.4341858112046566,False
PctKids2Par,4,6,BETA_ROT,-3.588964186698383,1.4038457123711439,False
PctKids2Par,4,6,BETA_LSCV,-3.591806177032716,1.4143118371594456,False
PctKids2Par,4,6,LOGIT_SILV,-3.5438344633196133,1.3157335009555522,False
PctKids2Par,4,6,LOGIT_LSCV,-3.5857687744216653,1.416910971937256,False
PctKids2Par,4,6,REFLECT_SILV,-0.1244514535226518,1.4214229647221888,False
PctKids2Par,4,6,REFLECT_LSCV,-0.12756271666450905,1.4346446469541019,False
PctKids2Par,4,7,BETA_ROT,-3.6023959360115674,1.3614561726960452,False
PctKids2Par,4,7,BETA_LSCV,-3.6027885694384194,1.373211750507174,False
PctKids2Par,4,7,LOGIT_SILV,-3.5485734517704017,1.3080746467075022,False
PctKids2Par,4,7,LOGIT_LSCV,-3.593268588977185,1.3793375841920732,False
PctKids2Par,4,7,REFLECT_SILV,-0.13895310345910805,1.3799037360746333,False
PctKids2Par,4,7,REFLECT_LSCV,-0.13793318896107218,1.3763856412120556,False
PctKids2Par,4,8,BETA_ROT,-17.4857456249691,1.377309424758756,False
PctKids2Par,4,8,BETA_LSCV,-17.48822838797008,1.3880271815181793,False
PctKids2Par,4,8,LOGIT_SILV,-17.44850527311413,1.3262322172678798,False
PctKids2Par,4,8,LOGIT_LSCV,-17.484692137035537,1.392277335755257,False
PctKids2Par,4,8,REFLECT_SILV,-0.16819481650609386,1.3985542811184657,False
PctKids2Par,4,8,REFLECT_LSCV,-0.16791102192447474,1.3974846664588643,False
PctKids2Par,4,9,BETA_ROT,-0.18653059296038912,1.3353930382527561,False
PctKids2Par,4,9,BETA_LSCV,-0.19501471601313283,1.344303571667452,False
PctKids2Par,4,9,LOGIT_SILV,-0.11893943066553504,1.2831179747125157,False
PctKids2Par,4,9,LOGIT_LSCV,-0.20920813303050562,1.351216953580134,False
PctKids2Par,4,9,REFLECT_SILV,-0.1675268526475562,1.3556049983652823,False
PctKids2Par,4,9,REFLECT_LSCV,-0.1669197423801795,1.3550019034151093,False
